"address","categoryName","city","countryCode","imageUrls/0","isAdvertisement","locatedIn","location/lat","location/lng","neighborhood","orderBy/0/name","orderBy/0/url","orderBy/1/name","orderBy/1/url","orderBy/2/name","orderBy/2/url","permanentlyClosed","phone","placeId","plusCode","postalCode","rank","reviewsCount","reviewsDistribution/fiveStar","reviewsDistribution/fourStar","reviewsDistribution/oneStar","reviewsDistribution/threeStar","reviewsDistribution/twoStar","scrapedAt","searchPageUrl","searchString","state","street","subTitle","temporarilyClosed","title","totalScore","url","website"
"190 Av. d'Italie, 75013 Paris, France","Brasserie","Paris","FR","https://lh5.googleusercontent.com/p/AF1QipNgKDAWkGArfIUj_ZbPNYUuDoq7lUoL01dSWU_Q=w1920-h1080-k-no","false",,"48.819361","2.3589515","190 Av. d'Italie","thefork.fr","https://www.thefork.fr/restaurant/le-liberte-r607363?cc=18174-54f",,,,,"false","+33 1 45 80 40 04","ChIJraYNRIFx5kcRkGe3vmxjCYI","R995+PH Paris, France","75013","153","350","123","112","26","67","22","2021-08-07T16:51:19.226Z","https://www.google.com/maps/search/bar+a+proximite+de+Paris+13,+Paris/@48.8360839,2.3281249,13z/data=!4m2!2m1!6e5?hl=fr","bar a proximite de Paris 13, Paris",,"190 Av. d'Italie",,"false","Le Liberté","3.8","https://www.google.com/maps/place/Le+Libert%C3%A9/@48.8193683,2.3568011,17z/data=!3m1!4b1!4m5!3m4!1s0x47e67181440da6ad:0x8209636cbeb76790!8m2!3d48.819361!4d2.3589515?hl=fr","trouversonsite.com"
"107 Rue du Chevaleret, 75013 Paris, France","Brasserie","Paris","FR","https://lh5.googleusercontent.com/p/AF1QipOYxUzPs1p2QhZmWnMsrhmrzgSj3E5L0os3afdj=w1920-h1080-k-no","false",,"48.8309421","2.3743335","107 Rue du Chevaleret","zenchef.com","https://bookings.zenchef.com/results?rid=345942&pid=facebook&fbclid=IwAR28At-w3op3R9Om_frtadwBWFJYpqNSepRzSqm_xDEaoFNV7DTee9NHtgI",,,,,"false","+33 1 45 70 88 33","ChIJwdheZiNy5kcRSQysf6Y7lP0","R9JF+9P Paris, France","75013","152","627","280","230","18","77","22","2021-08-07T16:51:26.805Z","https://www.google.com/maps/search/bar+a+proximite+de+Paris+13,+Paris/@48.8360839,2.3281249,13z/data=!4m2!2m1!6e5?hl=fr","bar a proximite de Paris 13, Paris",,"107 Rue du Chevaleret",,"false","Le Débonnaire","4.2","https://www.google.com/maps/place/Le+D%C3%A9bonnaire/@48.8309336,2.3721542,17z/data=!3m1!4b1!4m5!3m4!1s0x47e67223665ed8c1:0xfd943ba67fac0c49!8m2!3d48.8309421!4d2.3743335?hl=fr","ledebonnaire.fr"
"13 Bis Rue Campagne Première, 75014 Paris, France","Bar","Paris","FR","https://lh5.googleusercontent.com/p/AF1QipNYKTroixZGZ2zN3OzJQWLv0Of6R6EUo4wb0Nsy=w1920-h1080-k-no","false",,"48.8398845","2.3328326","13 Bis Rue Campagne Première",,,,,,,"false","+33 1 77 18 85 19","ChIJ_9VFPMZx5kcRGNhrXqIXK-g","R8QM+X4 Paris, France","75014","151","100","71","17","3","5","4","2021-08-07T16:51:33.971Z","https://www.google.com/maps/search/bar+a+proximite+de+Paris+13,+Paris/@48.8360839,2.3281249,13z/data=!4m2!2m1!6e5?hl=fr","bar a proximite de Paris 13, Paris",,"13 Bis Rue Campagne Première",,"false","Archi' Bar","4.5","https://www.google.com/maps/place/Archi'+Bar/@48.8398819,2.3306478,17z/data=!3m1!4b1!4m5!3m4!1s0x47e671c63c45d5ff:0xe82b17a25e6bd818!8m2!3d48.8398845!4d2.3328326?hl=fr",
"98 Rue de Tolbiac, 75013 Paris, France","Brasserie","Paris","FR","https://lh5.googleusercontent.com/p/AF1QipO6XTR6AoNynOQDQj9Z3qxgrD72-gblnoZjFWn8=w1920-h1080-k-no","false",,"48.8268554","2.3637452","98 Rue de Tolbiac","just-eat.fr","https://www.just-eat.fr/menu/les-affranchis?utm_campaign=foodorder&utm_medium=organic&utm_source=google",,,,,"false","+33 1 45 83 94 39","ChIJ6yHMF4hx5kcRMOPGcynDBBc","R9G7+PF Paris, France","75013","150","642","325","194","21","84","18","2021-08-07T16:51:41.230Z","https://www.google.com/maps/search/bar+a+proximite+de+Paris+13,+Paris/@48.8360839,2.3281249,13z/data=!4m2!2m1!6e5?hl=fr","bar a proximite de Paris 13, Paris",,"98 Rue de Tolbiac",,"false","Les Affranchis","4.2","https://www.google.com/maps/place/Les+Affranchis/@48.8268406,2.3614496,17z/data=!3m1!4b1!4m5!3m4!1s0x47e6718817cc21eb:0x1704c32973c6e330!8m2!3d48.8268554!4d2.3637452?hl=fr","les-affranchis.paris"
"7 Port de la Gare, 75013 Paris, France","Salle de concert","Paris","FR","https://lh5.googleusercontent.com/p/AF1QipN6I4L6pC3Bi9emuYd708MVKHVb5Dme7rit8U5X=w1920-h1080-k-no","false",,"48.8355263","2.3767124","7 Port de la Gare",,,,,,,"false",,"ChIJe_iCARhy5kcRLKRegs4xnO8","R9PG+6M Paris, France","75013","149","1968","1018","630","71","204","45","2021-08-07T16:51:48.399Z","https://www.google.com/maps/search/bar+a+proximite+de+Paris+13,+Paris/@48.8360839,2.3281249,13z/data=!4m2!2m1!6e5?hl=fr","bar a proximite de Paris 13, Paris",,"7 Port de la Gare",,"false","Petit Bain","4.3","https://www.google.com/maps/place/Petit+Bain/@48.8355263,2.3745237,17z/data=!3m1!4b1!4m5!3m4!1s0x47e672180182f87b:0xef9c31ce825ea42c!8m2!3d48.8355263!4d2.3767124?hl=fr","petitbain.org"
"34 Rue de la Glacière, 75013 Paris, France","Bistro","Paris","FR","https://lh5.googleusercontent.com/p/AF1QipOFwXkV-cM3qHN8zlKKOQbXSNkHC59Jq-beYkTq=w1920-h1080-k-no","false",,"48.8342158","2.3447517","34 Rue de la Glacière",,,,,,,"false","+33 1 45 87 27 09","ChIJ1yqQGpVx5kcRojqlcFyISjQ","R8MV+MV Paris, France","75013","148","74","30","25","4","13","2","2021-08-07T16:51:55.677Z","https://www.google.com/maps/search/bar+a+proximite+de+Paris+13,+Paris/@48.8360839,2.3281249,13z/data=!4m2!2m1!6e5?hl=fr","bar a proximite de Paris 13, Paris",,"34 Rue de la Glacière",,"false","Bistro 13","4","https://www.google.com/maps/place/Bistro+13/@48.8342167,2.3425495,17z/data=!3m1!4b1!4m5!3m4!1s0x47e671951a902ad7:0x344a885c70a53aa2!8m2!3d48.8342158!4d2.3447517?hl=fr",
"130 Bd Vincent Auriol, 75013 Paris, France","Brasserie","Paris","FR","https://lh5.googleusercontent.com/p/AF1QipM2u2HiI__fahkl8oRepYhAKFqKXRuVm9mtNUFi=w1920-h1080-k-no","false",,"48.8329931","2.3615206","130 Bd Vincent Auriol",,,,,,,"false","+33 1 45 84 60 32","ChIJmycOpotx5kcRbYKGJsqE8r0","R9M6+6H Paris, France","75013","147","102","53","28","5","13","3","2021-08-07T16:52:02.678Z","https://www.google.com/maps/search/bar+a+proximite+de+Paris+13,+Paris/@48.8360839,2.3281249,13z/data=!4m2!2m1!6e5?hl=fr","bar a proximite de Paris 13, Paris",,"130 Bd Vincent Auriol",,"false","La Halte Des Taxis","4.2","https://www.google.com/maps/place/La+Halte+Des+Taxis/@48.8330326,2.3592672,17z/data=!3m1!4b1!4m5!3m4!1s0x47e6718ba60e279b:0xbdf284ca2686826d!8m2!3d48.8329931!4d2.3615206?hl=fr",
"31 Rue Nationale, 75013 Paris, France","Restaurant chinois","Paris","FR","https://lh5.googleusercontent.com/p/AF1QipMxNnixuikF23YKlWxApDTrls0ubxqpsQf0mo_R=w1920-h1080-k-no","false",,"48.8239747","2.3679921","31 Rue Nationale","deliveroo.fr","https://deliveroo.fr/menu/paris/13eme-olympiades/noodle-bar-13?utm_medium=affiliate&utm_source=google_maps_link",,,,,"false","+33 1 44 23 85 74","ChIJa5G87ihy5kcRTRLBvYfLuIU","R9F9+H6 Paris, France","75013","146","265","165","66","6","24","4","2021-08-07T16:52:10.166Z","https://www.google.com/maps/search/bar+a+proximite+de+Paris+13,+Paris/@48.8360839,2.3281249,13z/data=!4m2!2m1!6e5?hl=fr","bar a proximite de Paris 13, Paris",,"31 Rue Nationale",,"false","Noodle Bar","4.4","https://www.google.com/maps/place/Noodle+Bar/@48.8239806,2.3658186,17z/data=!3m1!4b1!4m5!3m4!1s0x47e67228eebc916b:0x85b8cb87bdc1124d!8m2!3d48.8239747!4d2.3679921?hl=fr","noodle-bar13.fr"
"43 Rue du Château des Rentiers, 75013 Paris, France","Restaurant","Paris","FR","https://lh5.googleusercontent.com/p/AF1QipM45Cva6OneiPhwxxCSRaJgXakulspnVi68yAQ8=w1920-h1080-k-no","false",,"48.8248681","2.3698004","43 Rue du Château des Rentiers","thefork.fr","https://www.thefork.fr/restaurant/boria-r695955?cc=18174-54f",,,,,"false","+33 1 45 84 01 01","ChIJ2SOBsihy5kcR8YD18eXezzg","R9F9+WW Paris, France","75013","145","58","21","16","2","13","6","2021-08-07T16:52:16.686Z","https://www.google.com/maps/search/bar+a+proximite+de+Paris+13,+Paris/@48.8360839,2.3281249,13z/data=!4m2!2m1!6e5?hl=fr","bar a proximite de Paris 13, Paris",,"43 Rue du Château des Rentiers",,"false","Borià","3.8","https://www.google.com/maps/place/Bori%C3%A0/@48.8248698,2.367619,17z/data=!3m1!4b1!4m5!3m4!1s0x47e67228b28123d9:0x38cfdee5f1f580f1!8m2!3d48.8248681!4d2.3698004?hl=fr",
"33 Cr Saint-Emilion, 75012 Paris, France","Restaurant français","Paris","FR","https://lh5.googleusercontent.com/p/AF1QipPt05Osdm6R4XEFUT5NiZ898dP17r2ohB5XKU2l=w1920-h1080-k-no","false","Situé dans : Bercy Village","48.833196","2.386509","33 Cr Saint-Emilion","guestonline.fr","http://ib.guestonline.fr/instabook/bookings/cM4biuy",,,,,"false","+33 1 53 44 01 01","ChIJgQKYmj9y5kcRBj8MXRDO2VY","R9MP+7J Paris, France","75012","144","1700","628","555","142","256","119","2021-08-07T16:52:23.551Z","https://www.google.com/maps/search/bar+a+proximite+de+Paris+13,+Paris/@48.8360839,2.3281249,13z/data=!4m2!2m1!6e5?hl=fr","bar a proximite de Paris 13, Paris",,"33 Cr Saint-Emilion",,"false","Chai 33","3.8","https://www.google.com/maps/place/Chai+33/@48.833196,2.3843203,17z/data=!3m1!4b1!4m5!3m4!1s0x47e6723f9a980281:0x56d9ce105d0c3f06!8m2!3d48.833196!4d2.386509?hl=fr","chai33.com"
