address;categoryName;city;imageUrls/0;isAdvertisement;location/lat;location/lng;phone;postalCode;reviewsCount;title;totalScore;url;website
"1 Rue Oberkampf, 75011 Paris, France";Bar;Paris;https://lh5.googleusercontent.com/p/AF1QipM1W1FttAlv5AbNtaEC9d7Q2iefSllzZBScjDZi=w1920-h1080-k-no;FALSE;488.627.638;23.674.016;+33 1 47 00 64 33;75011;179;L'autobus;4.1;"https://www.google.com/maps/place/L'autobus/@48.8627665,2.3652121,17z/data=!3m1!4b1!4m5!3m4!1s0x47e66e077d0166c3:0x14ebb4a7c62ed732!8m2!3d48.8627638!4d2.3674016?hl=fr";
"Hôtel Plaza Athénée, 25 Av. Montaigne, 75008 Paris, France";Bar;Paris;https://lh5.googleusercontent.com/p/AF1QipOwQycsP5F2W2doK0wZNwPuGq6oAczpxH0coAXH=w1920-h1080-k-no;FALSE;488.661.585;23.042.205;+33 1 53 67 66 00;75008;116;Le Bar du Plaza Athénée;4.5;"https://www.google.com/maps/place/Le+Bar+du+Plaza+Ath%C3%A9n%C3%A9e/@48.8662456,2.3019286,17z/data=!3m1!4b1!4m5!3m4!1s0x47e66fc29958c301:0x51e92c95c8378680!8m2!3d48.8661585!4d2.3042205?hl=fr";dorchestercollection.com
"101 Rue Berger, 75001 Paris, France";Bar;Paris;https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=mStsloTj-WTr5c5o0lStNA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=354.58453&pitch=0&thumbfov=100;FALSE;488.621.709;23.450.875;+33 1 44 76 63 00;75001;1;Le 7e Bar;5;"https://www.google.com/maps/place/Le+7e+Bar/@48.8621709,2.3428988,17z/data=!3m1!4b1!4m5!3m4!1s0x47e66e18a061968f:0x39ff3ae4244e107b!8m2!3d48.8621709!4d2.3450875?hl=fr";forumdesimages.fr
"25 Rue Villiot, 75012 Paris, France";Bar;Paris;https://lh5.googleusercontent.com/p/AF1QipNWIep38dECni4xcwrAGS8cit7DVr3f-uCrcwLK=w1920-h1080-k-no;FALSE;48.841.744;23.753.705;+33 6 34 65 06 25;75012;604;Le Social Bar;4.5;"https://www.google.com/maps/place/Le+Social+Bar/@48.8417528,2.3731718,17z/data=!3m1!4b1!4m5!3m4!1s0x47e6721a40829f47:0x641bcb04c47a9a29!8m2!3d48.841744!4d2.3753705?hl=fr";social-bar.org
"1 Quai de Montebello, 75005 Paris, France";Bar;Paris;https://lh5.googleusercontent.com/p/AF1QipNSKJAPS7S6TChJcc5vsdDAliwMAuK1i1QQ2Ih-=w1920-h1080-k-no;FALSE;488.514.195;23.500.844;+33 1 43 54 38 37;75005;426;Le Montebello;3.5;"https://www.google.com/maps/place/Le+Montebello/@48.8514212,2.3478979,17z/data=!3m1!4b1!4m5!3m4!1s0x47e671e3fa080285:0x56a2a4c944cd87f8!8m2!3d48.8514195!4d2.3500844?hl=fr";restaurant-montebello-paris.fr
"35 Rue Saint-Sauveur, 75002 Paris, France";Bar;Paris;https://lh5.googleusercontent.com/p/AF1QipOltYi1TuXh6prnZJ3psxlpJPvxeHLqiB9SI6-L=w1920-h1080-k-no;FALSE;488.660.551;23.483.729;+33 6 10 50 84 24;75002;5;R.A.F.;3.4;"https://www.google.com/maps/place/R.A.F./@48.8660551,2.3461842,17z/data=!3m1!4b1!4m5!3m4!1s0x47e66fe54ff2aeb5:0x957d7788e889115a!8m2!3d48.8660551!4d2.3483729?hl=fr";
"27 Rue Quincampoix, 75004 Paris, France";Bar;Paris;https://lh5.googleusercontent.com/p/AF1QipMyhtKfZSMa6yu1wi-4pOVQRJlOCKIPe8ZYFmSf=w1920-h1080-k-no;FALSE;488.601.097;23.500.172;+33 1 42 77 75 35;75004;634;Le Komptoir;4.3;"https://www.google.com/maps/place/Le+Komptoir/@48.8601108,2.3478233,17z/data=!3m1!4b1!4m5!3m4!1s0x47e66e1ea3dc1731:0xb5bd97462c92cc5c!8m2!3d48.8601097!4d2.3500172?hl=fr";lekomptoir.alleatone.fr
"1er étage Hôtel Fouquet's Barrière, Av. George V 46, 75008 Paris, France";Bar;Paris;https://lh5.googleusercontent.com/p/AF1QipPcufU1BwRFP26No9AzvCCvNBfc7vMIc107zDfY=w1920-h1080-k-no;FALSE;488.711.783;23.011.788;+33 1 40 69 60 00;75008;12;Le Lucien;4.4;"https://www.google.com/maps/place/Le+Lucien/@48.8711811,2.2990769,17z/data=!3m1!4b1!4m5!3m4!1s0x47e66fc205fd9e47:0x9afa2b397e47c513!8m2!3d48.8711783!4d2.3011788?hl=fr";lucienparis.com
"3 Rue Paul Lelong, 75002 Paris, France";Bar;Paris;https://lh5.googleusercontent.com/p/AF1QipPkSbOH3UVtsM-0on_3Hdjg2Dx1UYPXwaagBCVa=w1920-h1080-k-no;FALSE;48.867.701;23.434.779;+33 1 40 26 12 36;75002;95;Pépère Jean;4.3;"https://www.google.com/maps/place/P%C3%A9p%C3%A8re+Jean/@48.8676628,2.3412969,17z/data=!3m1!4b1!4m5!3m4!1s0x47e66e3d164a4cd3:0xe3d0eb6893644782!8m2!3d48.867701!4d2.3434779?hl=fr";
"65 Rue d'Aboukir, 75002 Paris, France";Bar;Paris;https://lh5.googleusercontent.com/p/AF1QipNKWPqckvP3QwYHano4Zs-LzkXa29M7ESWr3tPg=w1920-h1080-k-no;FALSE;488.676.887;23.464.578;+33 1 40 26 52 91;75002;11;Le lucky;4.1;"https://www.google.com/maps/place/Le+lucky/@48.8676887,2.3442691,17z/data=!3m1!4b1!4m5!3m4!1s0x47e66e17c3daa16d:0xfacd59a7a088082a!8m2!3d48.8676887!4d2.3464578?hl=fr";
